lineage,objective,mutations,warm_measured,warm_ag,warm_pg
At-52107_rev,warm,0,-0.29187404550681567,-0.007681809365749359,0.3167274594306946
At-52107_rev,warm,6,1.31259789433123,2.718243360519409,7.082078456878662
At-52107_rev,warm,12,1.98275737815321,4.167908668518066,10.620780944824219
Sb-27124_rev,warm,0,3.026528090200415,2.3366992473602295,3.01814603805542
Sb-27124_rev,warm,6,4.07044046362855,5.96835994720459,9.302026748657227
Sb-27124_rev,warm,12,5.46319598058064,6.363503456115723,13.837451934814453
